"","Day","Visits","Year","Quarter","Percentage","Name"
"225","Sunday",325813.366785726,"2023","Q2",13.4627772930075,"Greektown"
"226","Monday",310211.760918716,"2023","Q2",12.8181108470818,"Greektown"
"227","Tuesday",334787.821344195,"2023","Q2",13.8336064098078,"Greektown"
"228","Wednesday",344971.214167927,"2023","Q2",14.2543894827235,"Greektown"
"229","Thursday",368296.251170842,"2023","Q2",15.2181921088076,"Greektown"
"230","Friday",366833.006984434,"2023","Q2",15.1577301001392,"Greektown"
"231","Saturday",369191.729999511,"2023","Q2",15.2551937584327,"Greektown"
"232","Sunday",227602.060815872,"2022","Q2",11.7730353602289,"Greektown"
"233","Monday",248595.177625249,"2022","Q2",12.8589337287773,"Greektown"
"234","Tuesday",276743.312484818,"2022","Q2",14.3149354268211,"Greektown"
"235","Wednesday",276849.891592846,"2022","Q2",14.3204483804516,"Greektown"
"236","Thursday",305042.803643999,"2022","Q2",15.7787662414422,"Greektown"
"237","Friday",305794.657279041,"2022","Q2",15.8176569237116,"Greektown"
"238","Saturday",292620.862502998,"2022","Q2",15.1362239385673,"Greektown"
"239","Sunday",255009.583872602,"2023","Q2",13.141362340368,"Leslieville"
"240","Monday",250671.178675975,"2023","Q2",12.9177920972328,"Leslieville"
"241","Tuesday",267087.830672373,"2023","Q2",13.7637884281321,"Leslieville"
"242","Wednesday",288139.975798772,"2023","Q2",14.8486647804116,"Leslieville"
"243","Thursday",291428.860637527,"2023","Q2",15.0181502825072,"Leslieville"
"244","Friday",297370.528554974,"2023","Q2",15.3243411708007,"Leslieville"
"245","Saturday",290803.057827995,"2023","Q2",14.9859009005475,"Leslieville"
"246","Sunday",202323.892723819,"2022","Q2",14.1536147628818,"Leslieville"
"247","Monday",182033.605460455,"2022","Q2",12.7342030192284,"Leslieville"
"248","Tuesday",195836.311267646,"2022","Q2",13.6997744999385,"Leslieville"
"249","Wednesday",203236.63820126,"2022","Q2",14.2174660840992,"Leslieville"
"250","Thursday",205693.10238257,"2022","Q2",14.3893086046884,"Leslieville"
"251","Friday",200826.123886499,"2022","Q2",14.048837997064,"Leslieville"
"252","Saturday",239535.981250578,"2022","Q2",16.7567950320997,"Leslieville"
"253","Sunday",319472.611361667,"2023","Q2",12.4493718134169,"LibertyVillage"
"254","Monday",343419.613465572,"2023","Q2",13.3825508165793,"LibertyVillage"
"255","Tuesday",376867.714683183,"2023","Q2",14.6859735004082,"LibertyVillage"
"256","Wednesday",377464.461028191,"2023","Q2",14.7092278166253,"LibertyVillage"
"257","Thursday",379744.601247966,"2023","Q2",14.7980814847433,"LibertyVillage"
"258","Friday",405372.470491957,"2023","Q2",15.7967613767196,"LibertyVillage"
"259","Saturday",363833.079736742,"2023","Q2",14.1780331915074,"LibertyVillage"
"260","Sunday",221244.164450122,"2022","Q2",11.387098728775,"LibertyVillage"
"261","Monday",270056.020896551,"2022","Q2",13.8993703173691,"LibertyVillage"
"262","Tuesday",294872.114834223,"2022","Q2",15.176616713599,"LibertyVillage"
"263","Wednesday",289082.534417391,"2022","Q2",14.8786358652973,"LibertyVillage"
"264","Thursday",303567.004239113,"2022","Q2",15.6241293715502,"LibertyVillage"
"265","Friday",296720.939430736,"2022","Q2",15.2717728876161,"LibertyVillage"
"266","Saturday",267394.309745705,"2022","Q2",13.7623761157932,"LibertyVillage"
"267","Sunday",132528.790395825,"2023","Q2",13.6228454295522,"PapeVillage"
"268","Monday",129621.941020015,"2023","Q2",13.3240457527773,"PapeVillage"
"269","Tuesday",139859.808253789,"2023","Q2",14.376412430519,"PapeVillage"
"270","Wednesday",140707.073809618,"2023","Q2",14.463504206354,"PapeVillage"
"271","Thursday",134440.593414467,"2023","Q2",13.8193627065675,"PapeVillage"
"272","Friday",145151.419640258,"2023","Q2",14.920345592331,"PapeVillage"
"273","Saturday",150532.582394922,"2023","Q2",15.4734838818989,"PapeVillage"
"274","Sunday",90307.647876351,"2022","Q2",12.8956964300158,"PapeVillage"
"275","Monday",92439.750158494,"2022","Q2",13.2001550715021,"PapeVillage"
"276","Tuesday",99019.361101274,"2022","Q2",14.1397063425293,"PapeVillage"
"277","Wednesday",97688.296631583,"2022","Q2",13.9496338100964,"PapeVillage"
"278","Thursday",104556.381393285,"2022","Q2",14.9303783896008,"PapeVillage"
"279","Friday",108612.53674004,"2022","Q2",15.5095867872811,"PapeVillage"
"280","Saturday",107668.936733507,"2022","Q2",15.3748431689746,"PapeVillage"
"281","Sunday",599612.654992766,"2023","Q2",14.4734414704857,"QueenStreet"
"282","Monday",526165.267091472,"2023","Q2",12.7005694987254,"QueenStreet"
"283","Tuesday",553175.365972419,"2023","Q2",13.3525388693021,"QueenStreet"
"284","Wednesday",587071.506792094,"2023","Q2",14.1707234191843,"QueenStreet"
"285","Thursday",578066.815175412,"2023","Q2",13.9533683050308,"QueenStreet"
"286","Friday",637984.839227849,"2023","Q2",15.3996686906699,"QueenStreet"
"287","Saturday",660771.374574112,"2023","Q2",15.9496897466018,"QueenStreet"
"288","Sunday",520293.407593858,"2022","Q2",14.4071862304303,"QueenStreet"
"289","Monday",420157.89839658,"2022","Q2",11.634383599784,"QueenStreet"
"290","Tuesday",474004.194467821,"2022","Q2",13.1254146295733,"QueenStreet"
"291","Wednesday",484283.906071634,"2022","Q2",13.4100650158932,"QueenStreet"
"292","Thursday",520620.108830195,"2022","Q2",14.416232752037,"QueenStreet"
"293","Friday",575260.028464739,"2022","Q2",15.9292396175883,"QueenStreet"
"294","Saturday",616726.900041604,"2022","Q2",17.0774781546939,"QueenStreet"
"295","Sunday",149740.757820551,"2023","Q2",12.3124710336876,"Riverside"
"296","Monday",145219.543080155,"2023","Q2",11.9407130277951,"Riverside"
"297","Tuesday",179148.587540079,"2023","Q2",14.7305371424436,"Riverside"
"298","Wednesday",189413.561875318,"2023","Q2",15.5745772087803,"Riverside"
"299","Thursday",184341.297214625,"2023","Q2",15.1575089862138,"Riverside"
"300","Friday",190632.038732265,"2023","Q2",15.6747667712264,"Riverside"
"301","Saturday",177675.666330495,"2023","Q2",14.6094258298533,"Riverside"
"302","Sunday",131401.186625039,"2022","Q2",12.6807886913536,"Riverside"
"303","Monday",139251.890803106,"2022","Q2",13.4384159496558,"Riverside"
"304","Tuesday",153829.189952857,"2022","Q2",14.8451890158392,"Riverside"
"305","Wednesday",142274.920058836,"2022","Q2",13.730151482525,"Riverside"
"306","Thursday",145665.005197295,"2022","Q2",14.0573095119967,"Riverside"
"307","Friday",167709.854470556,"2022","Q2",16.1847337959544,"Riverside"
"308","Saturday",156090.46099731,"2022","Q2",15.0634115526753,"Riverside"
"309","Sunday",1244251.74455749,"2023","Q2",11.4783108612535,"StLawrenceMarket"
"310","Monday",1438748.26772137,"2023","Q2",13.2725551241795,"StLawrenceMarket"
"311","Tuesday",1600392.68751145,"2023","Q2",14.7637363963403,"StLawrenceMarket"
"312","Wednesday",1693041.16221044,"2023","Q2",15.6184251665733,"StLawrenceMarket"
"313","Thursday",1640127.22600102,"2023","Q2",15.1302903406741,"StLawrenceMarket"
"314","Friday",1691051.64336875,"2023","Q2",15.6000717137217,"StLawrenceMarket"
"315","Saturday",1532412.07365214,"2023","Q2",14.1366103972577,"StLawrenceMarket"
"316","Sunday",1112438.89874444,"2022","Q2",10.9762362213127,"StLawrenceMarket"
"317","Monday",1309175.70724601,"2022","Q2",12.9174032247118,"StLawrenceMarket"
