,Name,Year,Quarter,Time,Visits,Percentage
168,QueenStreet,2022,Q2,Evening: 6pm - 12am,996750.6469,27.60052691
169,Riverside,2023,Q2,Early Morning: 12am - 6am,97697.55733,8.033205937
170,Riverside,2023,Q2,Morning: 6am - 12pm,342248.04,28.14143016
171,Riverside,2023,Q2,Afternoon: 12pm - 6pm,481401.3471,39.58334543
172,Riverside,2023,Q2,Evening: 6pm - 12am,294824.5082,24.24201847
173,Riverside,2022,Q2,Early Morning: 12am - 6am,105598.4916,10.19071587
174,Riverside,2022,Q2,Morning: 6am - 12pm,285929.4973,27.59344591
175,Riverside,2022,Q2,Afternoon: 12pm - 6pm,404154.3326,39.00265913
176,Riverside,2022,Q2,Evening: 6pm - 12am,240540.1866,23.21317909
177,StLawrenceMarket,2023,Q2,Early Morning: 12am - 6am,2035518.094,18.77779923
178,StLawrenceMarket,2023,Q2,Morning: 6am - 12pm,3451530.042,31.84061018
179,StLawrenceMarket,2023,Q2,Afternoon: 12pm - 6pm,3437539.856,31.71154972
180,StLawrenceMarket,2023,Q2,Evening: 6pm - 12am,1915436.814,17.67004087
181,StLawrenceMarket,2022,Q2,Early Morning: 12am - 6am,1553140.57,15.32456101
182,StLawrenceMarket,2022,Q2,Morning: 6am - 12pm,3178865.096,31.36529498
183,StLawrenceMarket,2022,Q2,Afternoon: 12pm - 6pm,3286195.94,32.42430928
184,StLawrenceMarket,2022,Q2,Evening: 6pm - 12am,2116774.322,20.88583473
185,WestQueenWest,2023,Q2,Early Morning: 12am - 6am,310057.664,10.52021083
186,WestQueenWest,2023,Q2,Morning: 6am - 12pm,711591.1373,24.14418238
187,WestQueenWest,2023,Q2,Afternoon: 12pm - 6pm,1166461.681,39.57787285
188,WestQueenWest,2023,Q2,Evening: 6pm - 12am,759146.6504,25.75773393
189,WestQueenWest,2022,Q2,Early Morning: 12am - 6am,233680.4695,11.88329687
190,WestQueenWest,2022,Q2,Morning: 6am - 12pm,493908.4851,25.11660975
191,WestQueenWest,2022,Q2,Afternoon: 12pm - 6pm,731398.6746,37.1936414
192,WestQueenWest,2022,Q2,Evening: 6pm - 12am,507473.9676,25.80645198
193,DowntownWest,2023,Q3,Early Morning: 12am - 6am,3991487.092,19.99514491
194,DowntownWest,2023,Q3,Morning: 6am - 12pm,5416234.501,27.13234221
195,DowntownWest,2023,Q3,Afternoon: 12pm - 6pm,6417154.691,32.14639933
196,DowntownWest,2023,Q3,Evening: 6pm - 12am,4137405.108,20.72611355
197,DowntownWest,2022,Q3,Early Morning: 12am - 6am,2016558.42,16.10088016
198,DowntownWest,2022,Q3,Morning: 6am - 12pm,3182112.12,25.40705263
199,DowntownWest,2022,Q3,Afternoon: 12pm - 6pm,4050454.063,32.34018655
200,DowntownWest,2022,Q3,Evening: 6pm - 12am,3275398.276,26.15188065
201,DowntownYonge,2023,Q3,Early Morning: 12am - 6am,2608684.59,13.65994989
202,DowntownYonge,2023,Q3,Morning: 6am - 12pm,5166718.6,27.05467631
203,DowntownYonge,2023,Q3,Afternoon: 12pm - 6pm,7783726.553,40.75821012
204,DowntownYonge,2023,Q3,Evening: 6pm - 12am,3538192.07,18.52716368
205,DowntownYonge,2022,Q3,Early Morning: 12am - 6am,1698198.225,13.01864935
206,DowntownYonge,2022,Q3,Morning: 6am - 12pm,3168954.553,24.29369406
207,DowntownYonge,2022,Q3,Afternoon: 12pm - 6pm,5225245.25,40.0575355
208,DowntownYonge,2022,Q3,Evening: 6pm - 12am,2951952.267,22.63012109
209,FinancialDistrict,2023,Q3,Early Morning: 12am - 6am,1588058.48,7.825011367
210,FinancialDistrict,2023,Q3,Morning: 6am - 12pm,7728409.712,38.08102446
211,FinancialDistrict,2023,Q3,Afternoon: 12pm - 6pm,7192039.422,35.43810944
212,FinancialDistrict,2023,Q3,Evening: 6pm - 12am,3786139.972,18.65585473
213,FinancialDistrict,2022,Q3,Early Morning: 12am - 6am,1145438.21,7.933057064
214,FinancialDistrict,2022,Q3,Morning: 6am - 12pm,5433214.454,37.62926708
215,FinancialDistrict,2022,Q3,Afternoon: 12pm - 6pm,4818201.737,33.36982214
216,FinancialDistrict,2022,Q3,Evening: 6pm - 12am,3041945.174,21.06785372
217,GerrardIndiaBaz,2023,Q3,Early Morning: 12am - 6am,57225.91219,7.618597788
218,GerrardIndiaBaz,2023,Q3,Morning: 6am - 12pm,144308.0881,19.21201845
219,GerrardIndiaBaz,2023,Q3,Afternoon: 12pm - 6pm,326649.1226,43.48743755
220,GerrardIndiaBaz,2023,Q3,Evening: 6pm - 12am,222951.3218,29.68194621
221,GerrardIndiaBaz,2022,Q3,Early Morning: 12am - 6am,29565.52673,10.46448202
222,GerrardIndiaBaz,2022,Q3,Morning: 6am - 12pm,42025.46847,14.87457887
223,GerrardIndiaBaz,2022,Q3,Afternoon: 12pm - 6pm,110441.0713,39.08973498
224,GerrardIndiaBaz,2022,Q3,Evening: 6pm - 12am,100500.0902,35.57120413
225,Greektown,2023,Q3,Early Morning: 12am - 6am,183835.7663,6.661321209
226,Greektown,2023,Q3,Morning: 6am - 12pm,733115.7898,26.56457912
227,Greektown,2023,Q3,Afternoon: 12pm - 6pm,1199400.225,43.46047735
228,Greektown,2023,Q3,Evening: 6pm - 12am,643397.5321,23.31362233
229,Greektown,2022,Q3,Early Morning: 12am - 6am,80969.75446,6.324995026
230,Greektown,2022,Q3,Morning: 6am - 12pm,297758.2433,23.25954204
231,Greektown,2022,Q3,Afternoon: 12pm - 6pm,556968.4167,43.50788129
232,Greektown,2022,Q3,Evening: 6pm - 12am,344458.813,26.90758165
233,Leslieville,2023,Q3,Early Morning: 12am - 6am,173307.359,8.124211882
234,Leslieville,2023,Q3,Morning: 6am - 12pm,524391.417,24.58214704
235,Leslieville,2023,Q3,Afternoon: 12pm - 6pm,919436.999,43.10088756
236,Leslieville,2023,Q3,Evening: 6pm - 12am,516084.7946,24.19275353
237,Leslieville,2022,Q3,Early Morning: 12am - 6am,121130.2612,12.43949442
238,Leslieville,2022,Q3,Morning: 6am - 12pm,213771.2834,21.95328122
239,Leslieville,2022,Q3,Afternoon: 12pm - 6pm,393386.0988,40.39885767
240,Leslieville,2022,Q3,Evening: 6pm - 12am,245467.8571,25.20836668
241,LibertyVillage,2023,Q3,Early Morning: 12am - 6am,298368.8965,11.01143976
242,LibertyVillage,2023,Q3,Morning: 6am - 12pm,790196.4361,29.16255869
243,LibertyVillage,2023,Q3,Afternoon: 12pm - 6pm,1036707.15,38.26014866
244,LibertyVillage,2023,Q3,Evening: 6pm - 12am,584354.0782,21.56585289
245,LibertyVillage,2022,Q3,Early Morning: 12am - 6am,172081.654,11.00204575
246,LibertyVillage,2022,Q3,Morning: 6am - 12pm,446417.9131,28.54174278
247,LibertyVillage,2022,Q3,Afternoon: 12pm - 6pm,571223.0074,36.52116026
248,LibertyVillage,2022,Q3,Evening: 6pm - 12am,374365.2128,23.93505121
249,PapeVillage,2023,Q3,Early Morning: 12am - 6am,57089.41836,5.436810885
250,PapeVillage,2023,Q3,Morning: 6am - 12pm,303213.8376,28.87603938
251,PapeVillage,2023,Q3,Afternoon: 12pm - 6pm,456835.3106,43.50591162
252,PapeVillage,2023,Q3,Evening: 6pm - 12am,232914.8483,22.18123811
253,PapeVillage,2022,Q3,Early Morning: 12am - 6am,29284.07926,6.788046425
254,PapeVillage,2022,Q3,Morning: 6am - 12pm,101145.5028,23.44551668
255,PapeVillage,2022,Q3,Afternoon: 12pm - 6pm,179219.6453,41.5430945
256,PapeVillage,2022,Q3,Evening: 6pm - 12am,121757.3576,28.2233424
257,QueenStreet,2023,Q3,Early Morning: 12am - 6am,351592.256,7.382340635
258,QueenStreet,2023,Q3,Morning: 6am - 12pm,1063610.592,22.33250464
259,QueenStreet,2023,Q3,Afternoon: 12pm - 6pm,2164544.005,45.44867212
260,QueenStreet,2023,Q3,Evening: 6pm - 12am,1182865.352,24.83648261
261,QueenStreet,2022,Q3,Early Morning: 12am - 6am,287204.0676,11.92759858
262,QueenStreet,2022,Q3,Morning: 6am - 12pm,447937.8458,18.60288003
263,QueenStreet,2022,Q3,Afternoon: 12pm - 6pm,999590.7557,41.5130516
264,QueenStreet,2022,Q3,Evening: 6pm - 12am,673162.4802,27.9564698
265,Riverside,2023,Q3,Early Morning: 12am - 6am,90438.83313,6.812348776
266,Riverside,2023,Q3,Morning: 6am - 12pm,380410.7064,28.65462015
267,Riverside,2023,Q3,Afternoon: 12pm - 6pm,544090.9254,40.98391168
268,Riverside,2023,Q3,Evening: 6pm - 12am,312631.5093,23.5491194
269,Riverside,2022,Q3,Early Morning: 12am - 6am,58702.61249,8.470302397
270,Riverside,2022,Q3,Morning: 6am - 12pm,176463.859,25.46227816
