"","Name","Year","Quarter","Target Count","Control Count","Change","time_window"
"213","LibertyVillage",2023,"Q4",1337763.605,1115729.262,19.90037822,"Year Over Year"
"214","LibertyVillage",2023,"Q4",1337763.605,1115729.262,19.90037822,"Construction Start"
"215","LibertyVillage",2023,"Q4",1337763.605,2059499.246,-35.04422942,"Pre Pandemic"
"216","LibertyVillage",2023,"Q4",1337763.605,1498446.005,-10.72326924,"Last Quarter"
"217","PapeVillage",2023,"Q4",485363.6824,425139.2814,14.16580487,"Year Over Year"
"218","PapeVillage",2023,"Q4",485363.6824,425139.2814,14.16580487,"Construction Start"
"219","PapeVillage",2023,"Q4",485363.6824,472775.4877,2.662615771,"Pre Pandemic"
"220","PapeVillage",2023,"Q4",485363.6824,610143.3928,-20.45088283,"Last Quarter"
"221","QueenStreet",2023,"Q4",2377289.701,2037856.019,16.65641141,"Year Over Year"
"222","QueenStreet",2023,"Q4",2377289.701,2037856.019,16.65641141,"Construction Start"
"223","QueenStreet",2023,"Q4",2377289.701,3404690.283,-30.17603648,"Pre Pandemic"
"224","QueenStreet",2023,"Q4",2377289.701,2719485.736,-12.58311565,"Last Quarter"
"225","Riverside",2023,"Q4",656406.8991,636090.9432,3.193875991,"Year Over Year"
"226","Riverside",2023,"Q4",656406.8991,636090.9432,3.193875991,"Construction Start"
"227","Riverside",2023,"Q4",656406.8991,840106.0078,-21.86618201,"Pre Pandemic"
"228","Riverside",2023,"Q4",656406.8991,797444.1488,-17.68616021,"Last Quarter"
"229","StLawrenceMarket",2023,"Q4",6075515.022,5302669.727,14.57464512,"Year Over Year"
"230","StLawrenceMarket",2023,"Q4",6075515.022,5302669.727,14.57464512,"Construction Start"
"231","StLawrenceMarket",2023,"Q4",6075515.022,9914731.479,-38.72234428,"Pre Pandemic"
"232","StLawrenceMarket",2023,"Q4",6075515.022,6574708.991,-7.592639759,"Last Quarter"
"233","WestQueenWest",2023,"Q4",1659382.147,1323132.989,25.41310364,"Year Over Year"
"234","WestQueenWest",2023,"Q4",1659382.147,1323132.989,25.41310364,"Construction Start"
"235","WestQueenWest",2023,"Q4",1659382.147,1598000.512,3.841152428,"Pre Pandemic"
"236","WestQueenWest",2023,"Q4",1659382.147,1924143.911,-13.75997721,"Last Quarter"
