"","Name","Year","Quarter","Type","Count","Percentage"
"139","Leslieville",2022,"Q2","Resident",270966.6612,37.59009355
"140","Leslieville",2022,"Q2","Recurring Visitor",245390.617,34.04203384
"141","Leslieville",2022,"Q2","Infrequent Visitor",204488.6565,28.36787261
"142","LibertyVillage",2023,"Q2","Resident",407321.5993,30.51534885
"143","LibertyVillage",2023,"Q2","Recurring Visitor",419741.3486,31.44580032
"144","LibertyVillage",2023,"Q2","Infrequent Visitor",507745.9751,38.03885083
"145","LibertyVillage",2022,"Q2","Resident",284829.546,28.5254836
"146","LibertyVillage",2022,"Q2","Recurring Visitor",304225.2753,30.46795258
"147","LibertyVillage",2022,"Q2","Infrequent Visitor",409454.2663,41.00656382
"148","PapeVillage",2023,"Q2","Resident",175816.5984,35.31103139
"149","PapeVillage",2023,"Q2","Recurring Visitor",173125.3315,34.77051694
"150","PapeVillage",2023,"Q2","Infrequent Visitor",148966.4899,29.91845167
"151","PapeVillage",2022,"Q2","Resident",158584.9609,44.52130681
"152","PapeVillage",2022,"Q2","Recurring Visitor",141527.6483,39.73261912
"153","PapeVillage",2022,"Q2","Infrequent Visitor",56087.53921,15.74607407
"154","QueenStreet",2023,"Q2","Resident",509615.2131,23.85524589
"155","QueenStreet",2023,"Q2","Recurring Visitor",553809.1116,25.92397595
"156","QueenStreet",2023,"Q2","Infrequent Visitor",1072857.211,50.22077816
"157","QueenStreet",2022,"Q2","Resident",409322.5099,20.73709258
"158","QueenStreet",2022,"Q2","Recurring Visitor",456306.2912,23.11738441
"159","QueenStreet",2022,"Q2","Infrequent Visitor",1108237.633,56.14552301
"160","Riverside",2023,"Q2","Resident",160238.2885,24.10760045
"161","Riverside",2023,"Q2","Recurring Visitor",181577.6217,27.31806982
"162","Riverside",2023,"Q2","Infrequent Visitor",322863.6329,48.57432973
"163","Riverside",2022,"Q2","Resident",164462.6281,31.44000676
"164","Riverside",2022,"Q2","Recurring Visitor",165909.3527,31.71657433
"165","Riverside",2022,"Q2","Infrequent Visitor",192727.8689,36.8434189
"166","StLawrenceMarket",2023,"Q2","Resident",1516438.454,28.14085353
"167","StLawrenceMarket",2023,"Q2","Recurring Visitor",1740485.162,32.29853337
"168","StLawrenceMarket",2023,"Q2","Infrequent Visitor",2131820.021,39.5606131
"169","StLawrenceMarket",2022,"Q2","Resident",1300506.387,24.95694853
"170","StLawrenceMarket",2022,"Q2","Recurring Visitor",1442810.481,27.68778936
"171","StLawrenceMarket",2022,"Q2","Infrequent Visitor",2467682.328,47.35526212
"172","WestQueenWest",2023,"Q2","Resident",489775.7199,33.02938303
"173","WestQueenWest",2023,"Q2","Recurring Visitor",490280.8203,33.06344587
"174","WestQueenWest",2023,"Q2","Infrequent Visitor",502791.9874,33.9071711
"175","WestQueenWest",2022,"Q2","Resident",328491.6027,30.54550759
"176","WestQueenWest",2022,"Q2","Recurring Visitor",319714.9349,29.72938999
"177","WestQueenWest",2022,"Q2","Infrequent Visitor",427210.5326,39.72510242
"178","DowntownWest",2023,"Q3","Resident",2838792.572,26.302506
"179","DowntownWest",2023,"Q3","Recurring Visitor",3128939.406,28.99082811
"180","DowntownWest",2023,"Q3","Infrequent Visitor",4825127.729,44.70666589
"181","DowntownWest",2022,"Q3","Resident",1812980.643,22.52755025
"182","DowntownWest",2022,"Q3","Recurring Visitor",2104768.511,26.15321824
"183","DowntownWest",2022,"Q3","Infrequent Visitor",4130088.371,51.31923151
"184","DowntownYonge",2023,"Q3","Resident",2626932.428,25.9285187
"185","DowntownYonge",2023,"Q3","Recurring Visitor",3007826.759,29.68804661
"186","DowntownYonge",2023,"Q3","Infrequent Visitor",4496681.249,44.38343469
"187","DowntownYonge",2022,"Q3","Resident",2050553.722,25.87697734
"188","DowntownYonge",2022,"Q3","Recurring Visitor",2309830.419,29.14892147
"189","DowntownYonge",2022,"Q3","Infrequent Visitor",3563855.599,44.97410119
"190","FinancialDistrict",2023,"Q3","Resident",1736910.209,15.88482324
"191","FinancialDistrict",2023,"Q3","Recurring Visitor",2386215.157,21.82300835
"192","FinancialDistrict",2023,"Q3","Infrequent Visitor",6811275.24,62.29216841
"193","FinancialDistrict",2022,"Q3","Resident",1161954.952,13.18686561
"194","FinancialDistrict",2022,"Q3","Recurring Visitor",1757693.674,19.94782175
"195","FinancialDistrict",2022,"Q3","Infrequent Visitor",5891808.061,66.86531264
"196","GerrardIndiaBaz",2023,"Q3","Resident",125672.0612,27.3355828
"197","GerrardIndiaBaz",2023,"Q3","Recurring Visitor",118077.0328,25.68354872
"198","GerrardIndiaBaz",2023,"Q3","Infrequent Visitor",215988.9043,46.98086848
"199","GerrardIndiaBaz",2022,"Q3","Resident",60057.62219,28.70030197
"200","GerrardIndiaBaz",2022,"Q3","Recurring Visitor",49849.51504,23.82205759
"201","GerrardIndiaBaz",2022,"Q3","Infrequent Visitor",99350.6687,47.47764044
"202","Greektown",2023,"Q3","Resident",388153.4883,24.91889236
"203","Greektown",2023,"Q3","Recurring Visitor",374187.3837,24.02228865
"204","Greektown",2023,"Q3","Infrequent Visitor",795326.6307,51.058819
"205","Greektown",2022,"Q3","Resident",206681.2233,25.08825501
"206","Greektown",2022,"Q3","Recurring Visitor",200607.4358,24.35098083
"207","Greektown",2022,"Q3","Infrequent Visitor",416527.9962,50.56076416
"208","Leslieville",2023,"Q3","Resident",365656.385,31.9971521
"209","Leslieville",2023,"Q3","Recurring Visitor",367093.9186,32.12294501
"210","Leslieville",2023,"Q3","Infrequent Visitor",410027.6034,35.8799029
"211","Leslieville",2022,"Q3","Resident",257790.9537,40.91115019
"212","Leslieville",2022,"Q3","Recurring Visitor",241318.1041,38.29692647
"213","Leslieville",2022,"Q3","Infrequent Visitor",131014.8877,20.79192334
"214","LibertyVillage",2023,"Q3","Resident",454851.5275,30.35488273
"215","LibertyVillage",2023,"Q3","Recurring Visitor",468106.7098,31.23947799
"216","LibertyVillage",2023,"Q3","Infrequent Visitor",575487.7674,38.40563928
"217","LibertyVillage",2022,"Q3","Resident",282962.1264,27.80661205
"218","LibertyVillage",2022,"Q3","Recurring Visitor",293078.3672,28.80073231
"219","LibertyVillage",2022,"Q3","Infrequent Visitor",441566.8505,43.39265563
"220","PapeVillage",2023,"Q3","Resident",237476.6511,38.92144927
"221","PapeVillage",2023,"Q3","Recurring Visitor",223442.6573,36.62133524
"222","PapeVillage",2023,"Q3","Infrequent Visitor",149224.0844,24.45721549
"223","PapeVillage",2022,"Q3","Resident",107720.4982,41.37016661
"224","PapeVillage",2022,"Q3","Recurring Visitor",94499.40982,36.2925942
"225","PapeVillage",2022,"Q3","Infrequent Visitor",58162.16689,22.33723919
"226","QueenStreet",2023,"Q3","Resident",664720.2201,24.44286474
"227","QueenStreet",2023,"Q3","Recurring Visitor",746290.0256,27.44232175
"228","QueenStreet",2023,"Q3","Infrequent Visitor",1308475.491,48.11481352
"229","QueenStreet",2022,"Q3","Resident",438520.6421,27.62051128
"230","QueenStreet",2022,"Q3","Recurring Visitor",486953.0864,30.67106066
"231","QueenStreet",2022,"Q3","Infrequent Visitor",662189.2863,41.70842805
"232","Riverside",2023,"Q3","Resident",198796.0777,24.92915372
"233","Riverside",2023,"Q3","Recurring Visitor",201012.4581,25.20708923
"234","Riverside",2023,"Q3","Infrequent Visitor",397635.613,49.86375706
"235","Riverside",2022,"Q3","Resident",141749.9396,30.97702858
"236","Riverside",2022,"Q3","Recurring Visitor",142773.7944,31.20077457
"237","Riverside",2022,"Q3","Infrequent Visitor",173073.2211,37.82219685
"238","StLawrenceMarket",2023,"Q3","Resident",1803196.739,27.42625935
"239","StLawrenceMarket",2023,"Q3","Recurring Visitor",2070252.838,31.48812885
"240","StLawrenceMarket",2023,"Q3","Infrequent Visitor",2701259.413,41.0856118
"241","StLawrenceMarket",2022,"Q3","Resident",1228802.95,28.08761226
"242","StLawrenceMarket",2022,"Q3","Recurring Visitor",1392161.852,31.82162143
"243","StLawrenceMarket",2022,"Q3","Infrequent Visitor",1753928.083,40.09076631
"244","WestQueenWest",2023,"Q3","Resident",656151.6981,34.10096794
"245","WestQueenWest",2023,"Q3","Recurring Visitor",638377.9706,33.17724662
"246","WestQueenWest",2023,"Q3","Infrequent Visitor",629614.2419,32.72178543
"247","WestQueenWest",2022,"Q3","Resident",341526.0033,33.0433442
"248","WestQueenWest",2022,"Q3","Recurring Visitor",320198.7564,30.97988914
"249","WestQueenWest",2022,"Q3","Infrequent Visitor",371844.9699,35.97676666
"250","DowntownWest",2023,"Q4","Resident",2532435.835,24.59909076
"251","DowntownWest",2023,"Q4","Recurring Visitor",2739549.954,26.61091627
"252","DowntownWest",2023,"Q4","Infrequent Visitor",5022849.333,48.78999297
"253","DowntownWest",2022,"Q4","Resident",2279420.99,26.28354121
"254","DowntownWest",2022,"Q4","Recurring Visitor",2663968.126,30.71767626
"255","DowntownWest",2022,"Q4","Infrequent Visitor",3729038.132,42.99878253
"256","DowntownYonge",2023,"Q4","Resident",2297701.754,24.08012872
"257","DowntownYonge",2023,"Q4","Recurring Visitor",2588831.123,27.13119167
"258","DowntownYonge",2023,"Q4","Infrequent Visitor",4655366.922,48.78867961
"259","DowntownYonge",2022,"Q4","Resident",1955352.373,24.93200635
"260","DowntownYonge",2022,"Q4","Recurring Visitor",2130838.299,27.16956531
"261","DowntownYonge",2022,"Q4","Infrequent Visitor",3756549.079,47.89842833
"262","FinancialDistrict",2023,"Q4","Resident",1404664.101,13.84104638
"263","FinancialDistrict",2023,"Q4","Recurring Visitor",1964034.693,19.35287964
"264","FinancialDistrict",2023,"Q4","Infrequent Visitor",6779841.01,66.80607398
"265","FinancialDistrict",2022,"Q4","Resident",1445633.348,15.77831076
"266","FinancialDistrict",2022,"Q4","Recurring Visitor",2015510.9,21.99821785
"267","FinancialDistrict",2022,"Q4","Infrequent Visitor",5701011.131,62.2234714
"268","GerrardIndiaBaz",2023,"Q4","Resident",91239.34348,24.28251063
"269","GerrardIndiaBaz",2023,"Q4","Recurring Visitor",87289.45861,23.23128516
"270","GerrardIndiaBaz",2023,"Q4","Infrequent Visitor",197212.1783,52.48620421
"271","GerrardIndiaBaz",2022,"Q4","Resident",88864.40364,28.05075505
"272","GerrardIndiaBaz",2022,"Q4","Recurring Visitor",75895.22491,23.95693074
"273","GerrardIndiaBaz",2022,"Q4","Infrequent Visitor",152038.9869,47.9923142
"274","Greektown",2023,"Q4","Resident",327412.427,24.64952089
"275","Greektown",2023,"Q4","Recurring Visitor",305037.2367,22.9649858
"276","Greektown",2023,"Q4","Infrequent Visitor",695821.2931,52.3854933
"277","Greektown",2022,"Q4","Resident",287131.0565,26.32361509
"278","Greektown",2022,"Q4","Recurring Visitor",265594.1212,24.34915087
"279","Greektown",2022,"Q4","Infrequent Visitor",538048.4701,49.32723404
"280","Leslieville",2023,"Q4","Resident",311138.7226,30.58560162
"281","Leslieville",2023,"Q4","Recurring Visitor",321998.7864,31.65316911
"282","Leslieville",2023,"Q4","Infrequent Visitor",384134.3645,37.76122927
"283","Leslieville",2022,"Q4","Resident",315543.5724,36.34220132
"284","Leslieville",2022,"Q4","Recurring Visitor",311210.2674,35.8431202
"285","Leslieville",2022,"Q4","Infrequent Visitor",241502.7899,27.81467848
